ID,Pokedex #,Name,PicName,JapaneseName,ChineseName,Height,Weight,TypeID1,TypeID2,Description,ChineseDescription,Locations,ChineseLocations,Category,ChineseCategory,MovesID,EvolvesFromID,EvolvesIntoID
106,#106,Hitmonlee,hitmonlee,サワムラー,飞腿郎 ,1.5,49.8,11,,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",,TBD,,Kicking,,11,,
107,#107,Hitmonchan,hitmonchan,エビワラー,快拳郎 ,1.4,50.2,11,,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,,TBD,,Punching,,"104,93,31,48",,
108,#108,Lickitung,lickitung,ベロリンガ,大舌头 ,1.2,65.5,8,,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",,TBD,,Licking,,"112,65,79,86,99",,
109,#109,Koffing,koffing,ドガース,瓦斯弹 ,0.6,1,10,,"If Koffing becomes agitated, it raises the toxicity of its internal gases and then jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.",,TBD,,Poison Gas,,"129,81,82,84",,
110,#110,Weezing,weezing,マタドガス,双弹瓦斯 ,1.2,9.5,10,,"Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.",,TBD,,Poison Gas,,"129,81,82,84",,
111,#111,Rhyhorn,rhyhorn,サイホーン,独角犀牛 ,1,115,4,14,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.",,TBD,,Spikes,,"29,15,28,42,55,86,87,91",,
112,#112,Rhydon,rhydon,サイドン,钻角犀兽 ,1.9,120,4,14,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,,TBD,,Drill,,"29,15,28,42,55,86,87,91",,
113,#113,Chansey,chansey,ラッキー,吉利蛋 ,1.1,34.6,8,,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",,TBD,,Egg,,"23,118,91",,
114,#114,Tangela,tangela,モンジャラ,蔓藤怪 ,1,35,2,,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",,TBD,,Vine,,"5,131,1,37,54,65,79",,
115,#115,Kangaskhan,kangaskhan,ガルーラ,袋兽 ,2.2,80,8,,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.",,TBD,,Parent,,"102,128",,
116,#116,Horsea,horsea,タッツー,墨海马 ,0.4,8,18,,"Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.",,TBD,,Dragon,,"134,106,132,12,13,25,44,73,96",,
117,#117,Seadra,seadra,シードラ,海刺龙 ,1.2,25,18,,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.,,TBD,,Dragon,,"134,106,132,12,13,25,44,73,96",,
118,#118,Goldeen,goldeen,トサキント,角金鱼 ,0.6,15,18,,"Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.",,TBD,,Goldfish,,"116,42,55,73,96",,
119,#119,Seaking,seaking,アズマオウ,金鱼王 ,1.3,39,18,,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.",,TBD,,Goldfish,,"116,117,42,55,73,96",,
120,#120,Staryu,staryu,ヒトデマン,海星星 ,0.8,34.5,18,,"Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.",,TBD,,Star Shape,,"90,129,132,12,13,44,64,67,73",,
121,#121,Starmie,starmie,スターミー,宝石海星,1.1,80,18,12,"Starmie's center section-the core-glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname ""the gem of the sea.""",,TBD,,Mysterious,,"90,132,44,73",,
122,#122,Mr. Mime,mr-mime,バリヤード,魔墙人偶 ,1.3,54.5,12,9,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",,TBD,,Barrier,,"23,66,67,135",,
123,#123,Scyther,scyther,ストライク,飞天螳螂 ,1.5,56,1,15,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon's scythes are so effective, they can slice through thick logs in one wicked stroke.",,TBD,,Mantis,,"109,120,133,4,58,80,100",,
124,#124,Jynx,jynx,ルージュラ,迷唇姐 ,1.4,40.6,6,12,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",,TBD,,Human Shape,,"108,112,8,9,23,26,40,48,118",,
125,#125,Electabuzz,electabuzz,エレブー,电击兽 ,1.1,30,7,,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",,TBD,,Electric,,"120,90,92,93,130,22,113,94",,
126,#126,Magmar,magmar,ブーバー,鸭嘴火兽 ,1.3,44.5,13,,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon's fiery bursts create heat waves that ignite grass and trees in its surroundings.",,TBD,,Spitfire,,"107,136,30,31,32,35",,
127,#127,Pinsir,pinsir,カイロス,凯罗斯 ,1.5,55,1,,Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pokémon's movements turn sluggish in cold places.,,TBD,,Stag Beetle,,"89,97,100",,
128,#128,Tauros,tauros,ケンタロス,肯泰罗 ,1.4,88.4,8,,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",,TBD,,Wild Bull,,"129,141,42,70,91",,
129,#129,Magikarp,magikarp,コイキング,鲤鱼王 ,0.9,10,18,,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,,TBD,,Fish,,126,,
130,#130,Gyarados,gyarados,ギャラドス,暴鲤龙 ,6.5,235,18,15,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon's wildly violent nature.",,TBD,,Atrocious,,"102,7,44,45,73,96",,
131,#131,Lapras,lapras,ラプラス,拉普拉斯 ,2.5,220,18,6,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",,TBD,,Transport,,"108,110,132,9,12,47,96",,
132,#132,Ditto,ditto,メタモン,百变怪 ,0.3,4,8,,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",,TBD,,Transform,,,,
133,#133,Eevee,eevee,イーブイ,伊布 ,0.3,6.5,8,,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,,TBD,,Evolution,,"120,90,91",,
134,#134,Vaporeon,vaporeon,シャワーズ,水伊布 ,1,29,18,,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,,TBD,,Bubble Jet,,"120,132,7,44,73,96",,
135,#135,Jolteon,jolteon,サンダース,雷伊布 ,0.8,24.5,7,,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",,TBD,,Lightning,,"102,120,129,92,130",,
136,#136,Flareon,flareon,ブースター,火伊布 ,0.9,25,13,,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokémon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",,TBD,,Flame,,"102,107,137,120,129",,
137,#137,Porygon,porygon,ポリゴン,多邊獸 ,0.8,36.5,8,,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy-protected so it cannot be duplicated by copying.,,TBD,,Virtual,,"129,120,22,66,78,94",,
138,#138,Omanyte,omanyte,オムナイト,菊石兽 ,0.4,7.5,14,18,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",,TBD,,Spiral,,"5,102,115,132,12,44,73",,
139,#139,Omastar,omastar,オムスター,多刺菊石兽 ,1,35,14,18,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",,TBD,,Spiral,,"5,102,115,132,12,44,73",,
140,#140,Kabuto,kabuto,カブト,化石盔 ,0.5,11.5,14,18,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",,TBD,,Shellfish,,"5,115,123,1,6,54,58,73",,
141,#141,Kabutops,kabutops,カブトプス,镰刀盔 ,1.3,40.5,14,18,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water-dweller to living on land as evident from the beginnings of change in its gills and legs.,,TBD,,Shellfish,,"5,115,123,1,6,54,58,73,80",,
142,#142,Aerodactyl,aerodactyl,プテラ,化石翼龙 ,1.8,59,14,15,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,,TBD,,Fossil,,"5,102,106,137,133,24,25,45,50,71,91",,
143,#143,Snorlax,snorlax,カビゴン,卡比兽 ,2.1,460,8,,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,,TBD,,Sleeping,,"112,129,9,70",,
144,#144,Articuno,articuno,フリーザー,急冻鸟 ,1.7,55.4,6,15,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",,TBD,,Freeze,,"5,108,110,8,43,47",,
145,#145,Zapdos,zapdos,サンダー,闪电鸟 ,1.6,52.6,7,15,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,,TBD,,Electric,,"5,116,92,130,22,27",,
146,#146,Moltres,moltres,ファイヤー,火焰鸟 ,2,60,13,15,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",,TBD,,Flame,,"5,107,133,4,35,41,43,85",,
147,#147,Dratini,dratini,ミニリュウ,迷你龙 ,1.8,3.3,5,,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,,TBD,,Dragon,,"106,7,45,79,96,99",,
148,#148,Dragonair,dragonair,ハクリュー,哈克龙 ,4,16.5,5,,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from its crystals on its neck and tail.,,TBD,,Dragon,,"106,7,45,79,96,99",,
149,#149,Dragonite,dragonite,カイリュー,快龙 ,2.2,210,5,15,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,,TBD,,Dragon,,"106,93,133,7,24,25,31,43,45,79,96",,
150,#150,Mewtwo,mewtwo,ミュウツー,超梦 ,2,122,12,,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon's body, they failed to endow Mewtwo with a compassionate heart.",,TBD,,Genetic,,"135,119,90,67,69",,
151,#151,Mew,mew,ミュウ,梦幻 ,0.4,4,12,,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",,TBD,,New Species,,"5,108,24,25,118,67,73",,
